Pmatrix,Organism,Raw.data.avilable.on.DRYAD,Gmatrix,cormatrix,directory,data.link,Reference,Taxon1,Taxon2,Title,Pmatrix.1,Means,Paper.Link,full.reference,Email,GmatId,trait.type
Gem2001.1,Trichoplusia.ni,0,1,1,NA,NA,Gemeno.et.al.2001.BG,I,A,"Quantitative genetics of signal evolution: a comparison of the pheromonal signal in two populations of the cabbage looper, Trichoplusia ni",1,1,10.1023/A:1010249310366,"Gemeno, C., Moore, A.J., Preziosi, R.F. & Haynes, K.F. 2001, ""Quantitative genetics of signal evolution: a comparison of the pheromonal signal in two populations of the cabbage looper, Trichoplusia ni"", Behavior genetics, vol. 31, no. 2, pp. 157-165.",NA,Gem2001.472,S
Gem2001.2,Trichoplusia.ni,0,1,1,NA,NA,Gemeno.et.al.2001.BG,I,A,"Quantitative genetics of signal evolution: a comparison of the pheromonal signal in two populations of the cabbage looper, Trichoplusia ni",1,1,10.1023/A:1010249310366,"Gemeno, C., Moore, A.J., Preziosi, R.F. & Haynes, K.F. 2001, ""Quantitative genetics of signal evolution: a comparison of the pheromonal signal in two populations of the cabbage looper, Trichoplusia ni"", Behavior genetics, vol. 31, no. 2, pp. 157-165.",NA,Gem2001.472,S
Goo2003.1,Campanula.rapunculoides,0,0,1,NA,NA,Good-Avila.Stephenson.2003.AmNat,P,P,Parental effects in a partially self-incompatible herb Campanula rapunculoides L. (Campanulaceae): influence of variation in the strength of self-incompatibility on seed set and progeny performance,1,1,10.1086/368290,"Good-Avila, S.V. & Stephenson, A.G. 2003, ""Parental effects in a partially self-incompatible herb Campanula rapunculoides L. (Campanulaceae): influence of variation in the strength of self-incompatibility on seed set and progeny performance"", The American Naturalist, vol. 161, no. 4, pp. 615-630.",NA,Goo2003.205,L
Goo2003.1,Campanula.rapunculoides,0,0,1,NA,NA,Good-Avila.Stephenson.2003.AmNat,P,P,Parental effects in a partially self-incompatible herb Campanula rapunculoides L. (Campanulaceae): influence of variation in the strength of self-incompatibility on seed set and progeny performance,1,1,10.1086/368290,"Good-Avila, S.V. & Stephenson, A.G. 2003, ""Parental effects in a partially self-incompatible herb Campanula rapunculoides L. (Campanulaceae): influence of variation in the strength of self-incompatibility on seed set and progeny performance"", The American Naturalist, vol. 161, no. 4, pp. 615-630.",NA,Goo2003.206,S
Gri1997.1,Harmonia.axyridis,0,0,1,NA,NA,Grill.et.al.1997.Her,I,A,"The genetics of phenotypic plasticity in a colonizing population of the ladybird beetle, Harmonia axyridis",1,1,10.1038/sj.hdy.6881030,"GRILL, C.P., MOORE, A.J. & BRODIE III, E.D. 1997, ""The genetics of phenotypic plasticity in a colonizing population of the ladybird beetle, Harmonia axyridis"", Heredity, vol. 78, no. 3, pp. 261-269.",NA,Gri1997.211,M
Gri1997.2,Harmonia.axyridis,0,0,1,NA,NA,Grill.et.al.1997.Her,I,A,"The genetics of phenotypic plasticity in a colonizing population of the ladybird beetle, Harmonia axyridis",1,1,10.1038/sj.hdy.6881030,"GRILL, C.P., MOORE, A.J. & BRODIE III, E.D. 1997, ""The genetics of phenotypic plasticity in a colonizing population of the ladybird beetle, Harmonia axyridis"", Heredity, vol. 78, no. 3, pp. 261-269.",NA,Gri1997.213,M
Har2001.1,Macadamia.integrifolia,0,0,1,NA,NA,Hardner.et.al.2001.Euphytica,P,P,Genetic parameters for nut and kernel traits in macadamia,1,0.5,10.1023/A:1004016503740,"Hardner, C., Winks, C., Stephenson, R. & Gallagher, E. 2001, ""Genetic parameters for nut and kernel traits in macadamia"", Euphytica, vol. 117, no. 2, pp. 151-161.",NA,Har2001.478,M
Hlu2009.1,Papio.hamadryas,1,1,1,NA, http://dx.doi.org/10.5061/dryad.693j8,Hlusko.Mahaney.2009,V,A,"Quantitative Genetics, Pleiotropy, and Morphological Integration in the Dentition of Papio hamadryas",1,1,10.1007/s11692-008-9048-1,"Hlusko, L.J. & Mahaney, M.C. 2009, ""Quantitative Genetics, Pleiotropy, and Morphological Integration in the Dentition of Papio hamadryas"", Evolutionary Biology, vol. 36, no. 1, pp. 5-18.",NA,Hlu2009.243,M
Hou2005.1,Onthophagus.taurus,0,1,1,NA,NA,House.Simmons.2005.JEB,I,A,The evolution of male genitalia: patterns of genetic variation and covariation in the genital sclerites of the dung beetle Onthophagus taurus,1,1,10.1111/j.1420-9101.2005.00926.x,"House, C.M. & Simmons, L.W. 2005, ""The evolution of male genitalia: patterns of genetic variation and covariation in the genital sclerites of the dung beetle Onthophagus taurus"", Journal of Evolutionary Biology, vol. 18, no. 5, pp. 1281-1292.",NA,Hou2005.226,M
Hug1995.1,Drosophila.melanogaster,0,0,1,NA,NA,Hughes.et.al.1995.Evo,I,A,The evolutionary genetics of male life-history characters in Drosophila melanogaster,1,1,,"Hughes, K.A. 1995, ""The evolutionary genetics of male life-history characters in Drosophila melanogaster"", Evolution, vol. 49, no. 3, pp. 521.",NA,Hug1995.227,L
Imb2001.1,Crepis.sancta,0,0,1,NA,NA,Imbert.2001.Her,P,P,"Capitulum characters in a seed heteromorphic plant, Crepis sancta (Asteraceae): variance partitioning and inference for the evolution of dispersal rate",1,1,10.1046/j.1365-2540.2001.00812.x,"Imbert, E. 2001, ""Capitulum characters in a seed heteromorphic plant, Crepis sancta (Asteraceae): variance partitioning and inference for the evolution of dispersal rate"", Heredity, vol. 86, no. Pt 1, pp. 78-86.",NA,Imb2001.245,S
Jen2003.1,Passer.domesticus,0,1,1,NA,NA,Jensen.et.al.2003,V,A,Sexual variation in heritability and genetic correlations of morphological traits in house sparrow (Passer domesticus),1,1,10.1046/j.1420-9101.2003.00614.x,"Jensen, H., Saether, B.E., Ringsby, T.H., Tufto, J., Griffith, S.C. & Ellegren, H. 2003, ""Sexual variation in heritability and genetic correlations of morphological traits in house sparrow (Passer domesticus)"", Journal of Evolutionary Biology, vol. 16, no. 6, pp. 1296-1307.",NA,Jen2003.246,M
Jen2003.2,Passer.domesticus,0,1,1,NA,NA,Jensen.et.al.2003,V,A,Sexual variation in heritability and genetic correlations of morphological traits in house sparrow (Passer domesticus),1,1,10.1046/j.1420-9101.2003.00614.x,"Jensen, H., Saether, B.E., Ringsby, T.H., Tufto, J., Griffith, S.C. & Ellegren, H. 2003, ""Sexual variation in heritability and genetic correlations of morphological traits in house sparrow (Passer domesticus)"", Journal of Evolutionary Biology, vol. 16, no. 6, pp. 1296-1307.",NA,Jen2003.247,M
Jen2003.3,Passer.domesticus,0,1,1,NA,NA,Jensen.et.al.2003,V,A,Sexual variation in heritability and genetic correlations of morphological traits in house sparrow (Passer domesticus),1,1,10.1046/j.1420-9101.2003.00614.x,"Jensen, H., Saether, B.E., Ringsby, T.H., Tufto, J., Griffith, S.C. & Ellegren, H. 2003, ""Sexual variation in heritability and genetic correlations of morphological traits in house sparrow (Passer domesticus)"", Journal of Evolutionary Biology, vol. 16, no. 6, pp. 1296-1307.",NA,Jen2003.248,M
Kac2008.1,Innicotiana.alata,0,1,1,NA,NA,Kaczorowski.et.al.2008,P,P,HERITABILITY AND CORRELATION STRUCTURE OF NECTAR AND FLORAL MORPHOLOGY TRAITS INNICOTIANA ALATA,1,1,10.1111/j.1558-5646.2008.00400.x,"Kaczorowski, R.L., Juenger, T.E. & Holtsford, T.P. 2008, ""HERITABILITY AND CORRELATION STRUCTURE OF NECTAR AND FLORAL MORPHOLOGY TRAITS INNICOTIANA ALATA"", Evolution, vol. 62, no. 7, pp. 1738-1750.",NA,Kac2008.256,S
Kau2002.1,Oncorhynchus.mykiss,0,0,1,NA,NA,Kause.et.al.2002.Aqua,V,A,Coupling body weight and its composition: a quantitative genetic analysis in rainbow trout,1,1,10.1016/S0044-8486(01)00884-5,"Kause, A., Ritola, O., Paananen, T., M‰ntysaari, E. & Eskelinen, U. 2002, ""Coupling body weight and its composition: a quantitative genetic analysis in rainbow trout"", Aquaculture, vol. 211, no. 1, pp. 65-79.",NA,Kau2002.479,L
Kim2010.1,Taeniopygia.guttata,0,1,1,NA,NA,Kim.et.al.2010,V,A,GENETIC CORRELATION BETWEEN RESISTANCE TO OXIDATIVE STRESS AND REPRODUCTIVE LIFE SPAN IN A BIRD SPECIES,1,1,10.1111/j.1558-5646.2009.00862.x,"Kim, S., Velando, A., Sorci, G. & Alonso-Alvarez, C. 2010, ""GENETIC CORRELATION BETWEEN RESISTANCE TO OXIDATIVE STRESS AND REPRODUCTIVE LIFE SPAN IN A BIRD SPECIES"", Evolution, vol. 64, no. 3, pp. 852-857.",NA,Kim2010.257,L
Len2003.1,Phlox.drummondii,0,0,1,NA,NA,Lendvai.Levin.2003.Her,P,P,Rapid response to artificial selection on flower size in Phlox,1,1,10.1038/sj.hdy.6800249,"Lendvai, G. & Levin, D.A. 2003, ""Rapid response to artificial selection on flower size in Phlox"", Heredity, vol. 90, no. 4, pp. 336-342.",NA,Len2003.258,S
McG2007.1,Drosophila.bunnanda,0,0,1,NA,NA,McGuigan.Blows.2007.Evo,I,A,THE PHENOTYPIC AND GENETIC COVARIANCE STRUCTURE OF DROSPHILID WINGS,1,0,10.1111/j.1558-5646.2007.00078.x,"McGuigan, K. & Blows, M.W. 2007, ""THE PHENOTYPIC AND GENETIC COVARIANCE STRUCTURE OF DROSPHILID WINGS"", Evolution, vol. 61, no. 4, pp. 902-911.",NA,McG2007.274,M
McG2007.2,Drosophila.bunnanda,0,0,1,NA,NA,McGuigan.Blows.2007.Evo,I,A,THE PHENOTYPIC AND GENETIC COVARIANCE STRUCTURE OF DROSPHILID WINGS,1,0,10.1111/j.1558-5646.2007.00078.x,"McGuigan, K. & Blows, M.W. 2007, ""THE PHENOTYPIC AND GENETIC COVARIANCE STRUCTURE OF DROSPHILID WINGS"", Evolution, vol. 61, no. 4, pp. 902-911.",NA,McG2007.276,M
Mil2000.1,Ovis.aries,0,0,1,NA,NA,Milner.et.al.2000.JEB,V,A,Estimating variance components and heritabilities in the wild: a case study using the Åeanimal modelÅf approach,1,1,10.1046/j.1420-9101.2000.00222.x,"Milner, Pemberton, Brotherstone & Albon 2000, ""Estimating variance components and heritabilities in the wild: a case study using the Åeanimal modelÅf approach"", Journal of Evolutionary Biology, vol. 13, no. 5, pp. 804-813.",NA,Mil2000.294,M
Mil2000.2,Ovis.aries,0,0,1,NA,NA,Milner.et.al.2000.JEB,V,A,Estimating variance components and heritabilities in the wild: a case study using the Åeanimal modelÅf approach,1,1,10.1046/j.1420-9101.2000.00222.x,"Milner, Pemberton, Brotherstone & Albon 2000, ""Estimating variance components and heritabilities in the wild: a case study using the Åeanimal modelÅf approach"", Journal of Evolutionary Biology, vol. 13, no. 5, pp. 804-813.",NA,Mil2000.295,M
Mit1993.1,Penstemon.centranthifolius,0,1,1,NA,NA,Mitchell.Shaw.1993.Her,P,P,Heritability of floral traits for the perennial wild flower Penstemon centranthifolius (Scrophulariaceae): clones and crosses,1,1,10.1038/hdy.1993.123,"Mitchell, R.J. & Shaw, R.G. 1993, ""Heritability of floral traits for the perennial wild flower Penstemon centranthifolius (Scrophulariaceae): clones and crosses"", Heredity, vol. 71, no. 2, pp. 185-192.",NA,Mit1993.291,S
Moo2004.1,Nauphoeta.cinerea,0,1,1,NA,NA,Moore.et.al.2004.Evo,I,A,CONSTRAINTS ON EVOLUTION AND POSTCOPULATORY SEXUAL SELECTION: TRADE-OFFS AMONG EJACULATE CHARACTERISTICS,1,1,10.1554/04-116,"Moore, P.J., Harris, W.E., Montrose, V.T., Levin, D. & Moore, A.J. 2004, ""CONSTRAINTS ON EVOLUTION AND POSTCOPULATORY SEXUAL SELECTION: TRADE-OFFS AMONG EJACULATE CHARACTERISTICS"", Evolution, vol. 58, no. 8, pp. 1773-1780.",NA,Moo2004.297,S
Muh1996.1,Scathophaga.stercoraria,0,0,1,NA,NA,Muhlhauser.et.al.1996.AB,I,A,The genetic component of copula duration in the yellow dung fly,1,1,10.1006/anbe.1996.0143,"MUHLHAUSER, C., BLANCKENHORN, W.U. & WARD, P.I. 1996, ""The genetic component of copula duration in the yellow dung fly"", Animal Behaviour, vol. 51, no. 6, pp. 1401-1407.",NA,Muh1996.290,M
Nes2005.1,Phyllotis.darwini,0,1,1,NA,NA,Nespolo.et.al.2005,V,A,"QUANTITATIVE GENETICS OF BIOENERGETICS AND GROWTH-RELATED TRAITS IN THE WILD MAMMAL, PHYLLOTIS DARWINI",1,1,10.1554/04-408.1,"Nespolo, R.F., Bustamante, D.M., Bacigalupe, L.D. & Bozinovic, F. 2005, ""QUANTITATIVE GENETICS OF BIOENERGETICS AND GROWTH-RELATED TRAITS IN THE WILD MAMMAL, PHYLLOTIS DARWINI"", Evolution, vol. 59, no. 8, pp. 1829-1837.",NA,Nes2005.299,L
Nor2000.1,Drosophila.buzzatii,0,0,1,NA,NA,Norry.et.al.2000.Her,I,A,"Negative genetic correlation between traits of the Drosophila head, and interspecific divergence in head shape",1,1,10.1046/j.1365-2540.2000.00735.x,"Norry, F.M., Vilardi, J.C. & Hasson, E. 2000, ""Negative genetic correlation between traits of the Drosophila head, and interspecific divergence in head shape"", Heredity, vol. 85 ( Pt 2), no. 2, pp. 177-183.",NA,Nor2000.304,M
Phi1998.1,Rana.sylvatica,0,1,1,NA,NA,Phillips.1998.JEB,V,A,"Genetic constraints at the metamorphic boundary: Morphological development in the wood frog, Rana sylvatica",1,1,10.1046/j.1420-9101.1998.11040453.x,"Phillips, P.C. 1998, ""Genetic constraints at the metamorphic boundary: Morphological development in the wood frog, Rana sylvatica"", Journal of Evolutionary Biology, vol. 11, no. 4, pp. 453-463.",NA,Phi1998.333,M
Pol2004.1,Drosophila.bipectinata,0,0,1,NA,NA,Polak.et.al.2004.Evo,I,A,SEXUAL SELECTION FOR SIZE AND SYMMETRY IN A DIVERSIFYING SECONDARY SEXUAL CHARACTER IN DROSOPHILA BIPECTINATA DUDA (DIPTERA: DROSOPHILIDAE),1,1,10.1554/03-459,"Polak, M., Starmer, W.T. & Wolf, L.L. 2004, ""SEXUAL SELECTION FOR SIZE AND SYMMETRY IN A DIVERSIFYING SECONDARY SEXUAL CHARACTER IN DROSOPHILA BIPECTINATA DUDA (DIPTERA: DROSOPHILIDAE)"", Evolution, vol. 58, no. 3, pp. 597-607.",NA,Pol2004.321,S
Pol2004.2,Drosophila.bipectinata,0,0,1,NA,NA,Polak.et.al.2004.Evo,I,A,SEXUAL SELECTION FOR SIZE AND SYMMETRY IN A DIVERSIFYING SECONDARY SEXUAL CHARACTER IN DROSOPHILA BIPECTINATA DUDA (DIPTERA: DROSOPHILIDAE),1,1,10.1554/03-459,"Polak, M., Starmer, W.T. & Wolf, L.L. 2004, ""SEXUAL SELECTION FOR SIZE AND SYMMETRY IN A DIVERSIFYING SECONDARY SEXUAL CHARACTER IN DROSOPHILA BIPECTINATA DUDA (DIPTERA: DROSOPHILIDAE)"", Evolution, vol. 58, no. 3, pp. 597-607.",NA,Pol2004.323,S
Pre1998.1,Aquarius.remigis,0,0,1,NA,NA,Preziosi.Roff.1998.Her,I,A,Evidence of genetic isolation between sexually monomorphic and sexually dimorphic traits in the water strider Aquarius remigis,1,0,10.1046/j.1365-2540.1998.00380.x,"Preziosi, R.F. & Roff, D.A. 1998, ""Evidence of genetic isolation between sexually monomorphic and sexually dimorphic traits in the water strider Aquarius remigis"", Heredity, vol. 81, no. 1, pp. 92-99.",NA,Pre1998.334,M
Pre1998.2,Aquarius.remigis,0,0,1,NA,NA,Preziosi.Roff.1998.Her,I,A,Evidence of genetic isolation between sexually monomorphic and sexually dimorphic traits in the water strider Aquarius remigis,1,0,10.1046/j.1365-2540.1998.00380.x,"Preziosi, R.F. & Roff, D.A. 1998, ""Evidence of genetic isolation between sexually monomorphic and sexually dimorphic traits in the water strider Aquarius remigis"", Heredity, vol. 81, no. 1, pp. 92-99.",NA,Pre1998.336,M
Rau2002.1,Nicrophorus.pustulatus,0,0,1,NA,NA,Rauter.Moore.2002.Evo,I,A,QUANTITATIVE GENETICS OF GROWTH AND DEVELOPMENT TIME IN THE BURYING BEETLE NICROPHORUS PUSTULATUS IN THE PRESENCE AND ABSENCE OF POST-HATCHING PARENTAL CARE,1,0.5,10.1554/0014-3820(2002)056[0096:QGOGAD]2.0.CO;2,"Rauter, C.M. & Moore, A.J. 2002, ""QUANTITATIVE GENETICS OF GROWTH AND DEVELOPMENT TIME IN THE BURYING BEETLE NICROPHORUS PUSTULATUS IN THE PRESENCE AND ABSENCE OF POST-HATCHING PARENTAL CARE"", Evolution, vol. 56, no. 1, pp. 96-110.",NA,Rau2002.339,L
Rau2002.2,Nicrophorus.pustulatus,0,0,1,NA,NA,Rauter.Moore.2002.Evo,I,A,QUANTITATIVE GENETICS OF GROWTH AND DEVELOPMENT TIME IN THE BURYING BEETLE NICROPHORUS PUSTULATUS IN THE PRESENCE AND ABSENCE OF POST-HATCHING PARENTAL CARE,1,0.5,10.1554/0014-3820(2002)056[0096:QGOGAD]2.0.CO;2,"Rauter, C.M. & Moore, A.J. 2002, ""QUANTITATIVE GENETICS OF GROWTH AND DEVELOPMENT TIME IN THE BURYING BEETLE NICROPHORUS PUSTULATUS IN THE PRESENCE AND ABSENCE OF POST-HATCHING PARENTAL CARE"", Evolution, vol. 56, no. 1, pp. 96-110.",NA,Rau2002.341,L
Rea2000.1,Ovis.canadiensis,0,0,1,NA,NA,Reale.Festa-Bianchet.2000.Her,V,A,Quantitative genetics of life-history traits in a long-lived wild mammal,1,1,10.1046/j.1365-2540.2000.00795.x,"Reale, D. & Festa-Bianchet, M. 2000, ""Quantitative genetics of life-history traits in a long-lived wild mammal"", Heredity, vol. 85, no. 6, pp. 593-603.",NA,Rea2000.342,L
Rea2002.1,Gryllus.firmus,0,0,1,NA,NA,Reale.Roff.2002.AB,I,A,Quantitative genetics of oviposition behaviour and interactions among oviposition traits in the sand cricket,1,1,10.1006/anbe.2002.3084,"Reale, D. & Roff, D.A. 2002, ""Quantitative genetics of oviposition behaviour and interactions among oviposition traits in the sand cricket"", Animal Behaviour, vol. 64, no. 3, pp. 397-406.",NA,Rea2002.344,M
Rod2003.1,Achroia.grisella,0,0,1,NA,NA,Rodriguez.Greenfield.2003.Evo,I,A,GENETIC VARIANCE AND PHENOTYPIC PLASTICITY IN A COMPONENT OF FEMALE MATE CHOICE IN AN ULTRASONIC MOTH,1,1,10.1554/02-446,"Rodriguez, R.L. & Greenfield, M.D. 2003, ""GENETIC VARIANCE AND PHENOTYPIC PLASTICITY IN A COMPONENT OF FEMALE MATE CHOICE IN AN ULTRASONIC MOTH"", Evolution, vol. 57, no. 6, pp. 1304-1313.",NA,Rod2003.349,M
Rod2003.2,Achroia.grisella,0,0,1,NA,NA,Rodriguez.Greenfield.2003.Evo,I,A,GENETIC VARIANCE AND PHENOTYPIC PLASTICITY IN A COMPONENT OF FEMALE MATE CHOICE IN AN ULTRASONIC MOTH,1,1,10.1554/02-446,"Rodriguez, R.L. & Greenfield, M.D. 2003, ""GENETIC VARIANCE AND PHENOTYPIC PLASTICITY IN A COMPONENT OF FEMALE MATE CHOICE IN AN ULTRASONIC MOTH"", Evolution, vol. 57, no. 6, pp. 1304-1313.",NA,Rod2003.351,M
San2003.1,Encelia.farinosa,0,0,1,NA,NA,Sandquist.Ehleringer.2003.AJB,P,P,"Population- and Family-Level Variation of Brittlebush (Encelia farinosa, Asteraceae) Pubescence: Its Relation to Drought and Implications for Selection in Variable Environments",1,1,10.3732/ajb.90.10.1481,"Sandquist, D.R. & Ehleringer, J.R. 2003, ""Population- and Family-Level Variation of Brittlebush (Encelia farinosa, Asteraceae) Pubescence: Its Relation to Drought and Implications for Selection in Variable Environments"", American Journal of Botany, vol. 90, no. 10, pp. 1481-1486.",NA,San2003.374,L
San2003.2,Encelia.farinosa,0,0,1,NA,NA,Sandquist.Ehleringer.2003.AJB,P,P,"Population- and Family-Level Variation of Brittlebush (Encelia farinosa, Asteraceae) Pubescence: Its Relation to Drought and Implications for Selection in Variable Environments",1,1,10.3732/ajb.90.10.1481,"Sandquist, D.R. & Ehleringer, J.R. 2003, ""Population- and Family-Level Variation of Brittlebush (Encelia farinosa, Asteraceae) Pubescence: Its Relation to Drought and Implications for Selection in Variable Environments"", American Journal of Botany, vol. 90, no. 10, pp. 1481-1486.",NA,San2003.375,L
San2003.3,Encelia.farinosa,0,0,1,NA,NA,Sandquist.Ehleringer.2003.AJB,P,P,"Population- and Family-Level Variation of Brittlebush (Encelia farinosa, Asteraceae) Pubescence: Its Relation to Drought and Implications for Selection in Variable Environments",1,1,10.3732/ajb.90.10.1481,"Sandquist, D.R. & Ehleringer, J.R. 2003, ""Population- and Family-Level Variation of Brittlebush (Encelia farinosa, Asteraceae) Pubescence: Its Relation to Drought and Implications for Selection in Variable Environments"", American Journal of Botany, vol. 90, no. 10, pp. 1481-1486.",NA,San2003.376,L
Sch1992.1,Gutierrezia.microcephala,0,0,1,NA,NA,Schuster.et.al.1992.AJB,P,P,Heritability of Carbon Isotope Discrimination in Gutierrezia microcephala (Asteraceae),1,1,10.2307/2445110,"Schuster, W.S.F., Phillips, S.L., Sandquist, D.R. & Ehleringer, J.R. 1992, ""Heritability of Carbon Isotope Discrimination in Gutierrezia microcephala (Asteraceae)"", American Journal of Botany, vol. 79, no. 2, pp. 216-221.",NA,Sch1992.380,M
She2003.1,Ficedula.albicollis,0,0,1,NA,NA,Sheldon.et.al.2003.Evo,V,A,NATURAL SELECTION AND INHERITANCE OF BREEDING TIME AND CLUTCH SIZE IN THE COLLARED FLYCATCHER,1,0,10.1554/0014-3820(2003)057[0406:NSAIOB]2.0.CO;2,"Sheldon, B.C., L. E B. Kruuk & Merila, J. 2003, ""NATURAL SELECTION AND INHERITANCE OF BREEDING TIME AND CLUTCH SIZE IN THE COLLARED FLYCATCHER"", Evolution, vol. 57, no. 2, pp. 406-420.",NA,She2003.402,L
She2003.1,Ficedula.albicollis,0,0,1,NA,NA,Sheldon.et.al.2003.Evo,V,A,NATURAL SELECTION AND INHERITANCE OF BREEDING TIME AND CLUTCH SIZE IN THE COLLARED FLYCATCHER,1,0,10.1554/0014-3820(2003)057[0406:NSAIOB]2.0.CO;2,"Sheldon, B.C., L. E B. Kruuk & Merila, J. 2003, ""NATURAL SELECTION AND INHERITANCE OF BREEDING TIME AND CLUTCH SIZE IN THE COLLARED FLYCATCHER"", Evolution, vol. 57, no. 2, pp. 406-420.",NA,She2003.404,M
Ste2007.1,Silene.latifolia,0,0,1,NA,NA,Steven.et.al.2007.Evo,P,P,"SEXUAL DIMORPHISM IN THE QUANTITATIVE-GENETIC ARCHITECTURE OF FLORAL, LEAF, AND ALLOCATION TRAITS IN SILENE LATIFOLIA",1,0,10.1111/j.1558-5646.2007.00004.x,"Steven, J.C., Delph, L.F. & Edmund D. Brodie III 2007, ""SEXUAL DIMORPHISM IN THE QUANTITATIVE-GENETIC ARCHITECTURE OF FLORAL, LEAF, AND ALLOCATION TRAITS IN SILENE LATIFOLIA"", Evolution, vol. 61, no. 1, pp. 42-57.",NA,Ste2007.414,S
Ste2007.1,Silene.latifolia,0,0,1,NA,NA,Steven.et.al.2007.Evo,P,P,"SEXUAL DIMORPHISM IN THE QUANTITATIVE-GENETIC ARCHITECTURE OF FLORAL, LEAF, AND ALLOCATION TRAITS IN SILENE LATIFOLIA",1,0,10.1111/j.1558-5646.2007.00004.x,"Steven, J.C., Delph, L.F. & Edmund D. Brodie III 2007, ""SEXUAL DIMORPHISM IN THE QUANTITATIVE-GENETIC ARCHITECTURE OF FLORAL, LEAF, AND ALLOCATION TRAITS IN SILENE LATIFOLIA"", Evolution, vol. 61, no. 1, pp. 42-57.",NA,Ste2007.415,M
Ste2007.2,Silene.latifolia,0,0,1,NA,NA,Steven.et.al.2007.Evo,P,P,"SEXUAL DIMORPHISM IN THE QUANTITATIVE-GENETIC ARCHITECTURE OF FLORAL, LEAF, AND ALLOCATION TRAITS IN SILENE LATIFOLIA",1,0,10.1111/j.1558-5646.2007.00004.x,"Steven, J.C., Delph, L.F. & Edmund D. Brodie III 2007, ""SEXUAL DIMORPHISM IN THE QUANTITATIVE-GENETIC ARCHITECTURE OF FLORAL, LEAF, AND ALLOCATION TRAITS IN SILENE LATIFOLIA"", Evolution, vol. 61, no. 1, pp. 42-57.",NA,Ste2007.416,S
Ste2007.2,Silene.latifolia,0,0,1,NA,NA,Steven.et.al.2007.Evo,P,P,"SEXUAL DIMORPHISM IN THE QUANTITATIVE-GENETIC ARCHITECTURE OF FLORAL, LEAF, AND ALLOCATION TRAITS IN SILENE LATIFOLIA",1,0,10.1111/j.1558-5646.2007.00004.x,"Steven, J.C., Delph, L.F. & Edmund D. Brodie III 2007, ""SEXUAL DIMORPHISM IN THE QUANTITATIVE-GENETIC ARCHITECTURE OF FLORAL, LEAF, AND ALLOCATION TRAITS IN SILENE LATIFOLIA"", Evolution, vol. 61, no. 1, pp. 42-57.",NA,Ste2007.417,M
Wat2001.1,Hyla.regilla,0,1,1,NA,NA,Watkins.2001.Evo,V,A,"A QUANTITATIVE GENETIC TEST OF ADAPTIVE DECOUPLING ACROSS METAMORPHOSIS FOR LOCOMOTOR AND LIFE-HISTORY TRAITS IN THE PACIFIC TREE FROG, HYLA REGILLA",1,1,10.1554/0014-3820(2001)055[1668:AQGTOA]2.0.CO;2,"Watkins, T.B. 2001, ""A QUANTITATIVE GENETIC TEST OF ADAPTIVE DECOUPLING ACROSS METAMORPHOSIS FOR LOCOMOTOR AND LIFE-HISTORY TRAITS IN THE PACIFIC TREE FROG, HYLA REGILLA"", Evolution, vol. 55, no. 8, pp. 1668-1677.",NA,Wat2001.434,M
